"name","anzahl_global","cluster","centroid"
"#FirstInPOTUS",1,3,""
"#RiggedSystem",1,3,""
"#ImWithYou",48,3,""
"#ICYMI",5,3,""
"#Rubio",1,3,""
"#vaticanwalls",1,3,""
"#MDPrimary",1,3,""
"#ArmyBDay",1,3,""
"#TRUMP2016",1,3,""
"#CBNNews",1,3,""
"#WATCH",1,3,""
"#Donald",1,3,""
"#LightweightSenatorMarcoRubio",1,3,""
"#trump",2,3,""
"#NewYorkValues",6,3,""
"#trump2016",3,3,""
"#Mahalo",1,3,""
"#Mediafraud",1,3,""
"#MSPrimary",1,3,""
"#TRUMPDOG",1,3,""
"#SuperBowlSunday",1,3,""
"#SuperSaturday",2,3,""
"#goodtrouble",1,3,""
"#NoBillNoBreak",8,0,""
"#Olmstead",1,3,""
"#TrumpWaikiki",1,3,""
"#LSSC",2,3,""
"#TBT",11,3,""
"#NoMoreSilence",2,0,0
"#MemorialDay",1,3,""
"#WIPrimary",13,3,""
"#APAHM",1,3,""
"#TeacherAppreciationDay",1,3,""
"#WHCD",1,3,""
"#Caribbean",1,3,""
"#MSNBCTownhall",2,1,""
"#MichaelMoore",1,3,""
"#Teachers4Trump",1,3,""
"#StanleyCup",1,3,""
"#RTM2016",1,3,""
"#RepMikeKelly",1,3,""
"#NebraskaPrimary",1,3,""
"#TrumpForPresident",1,3,""
"#MattSchlapp",1,3,""
"#WIBackHer",1,3,""
"#jenniferrubin",1,3,""
"#SmallBizWeek",1,3,""
"#GunViolence",1,3,""
"#AmericaFIRST",1,3,3
"#SaveElephants",1,3,""
"#ThanksObama",1,3,""
"#CA4Trump",1,3,""
"#NeverDems",1,3,""
"#EstoyConElla",2,3,""
"#UnderstandSlavery",1,3,""
"#TRUMP",1,3,""
"#PAPrimary",2,3,""
"#MDW",1,3,""
"#RIPrimary",2,3,""
"#iVoted",1,3,""
"#PrimaryDay",6,1,""
"#ArizonaPrimary",2,3,""
"#ArmedForcesDay",1,3,""
"#INPrimary",10,3,""
"#MichaelBrown",1,3,""
"#MothersoftheMovement",1,3,""
"#ChangeAgents",1,3,""
"#SecondAmendment",1,3,""
"#SayHerName",1,3,""
"#FNS",1,3,""
"#MayDay",1,3,""
"#EastVillage",1,3,""
"#EarthDay",1,3,""
"#ActOnClimate",2,3,""
"#DonaldTrump",1,3,""
"#Prince",1,3,""
"#LyingTed",2,3,""
"#WesternTuesday",1,3,""
"#VoteTrumpWI",1,3,""
"#NeverCruz",1,3,""
"#NYPrimary",9,3,""
"#Racine",1,3,""
"#Wausau",1,3,""
"#UtahCaucus",2,3,""
"#UTCaucus",2,3,""
"#AmericanSamoa",1,3,""
"#Brussels",1,3,""
"#Arizona",1,3,""
"#AIPAC2016",1,3,""
"#TrumpCountry",1,3,""
"#Mormon",1,3,""
"#UtahPrimary",1,3,""
"#Utah4Trump",1,3,""
"#Utah",2,3,""
"#voteTrump",1,3,""
"#CNN",1,3,""
"#UT",1,3,""
"#EndCommonCore",1,3,""
"#Trump2016",309,1,""
"#GO",1,3,""
"#SuperTuesday",19,3,""
"#MAKEAMERICAGREATAGAIN",3,3,""
"#MakeAmericaSafeAgain",3,3,""
"#NAACP107",1,3,""
"#Charleston9",1,3,""
"#AZPrimary",3,3,""
"#WISCONSIN",1,1,1
"#NewDay",1,3,""
"#SallyRideDay",1,3,""
"#UAW",1,3,""
"#WattersWorld",1,3,""
"#FITN",24,3,""
"#HistoryMade",1,3,""
"#MothersDay",1,3,""
"#MadeForHistory",1,3,""
"#KentuckyDerby",1,3,""
"#CTPrimary",1,3,""
"#DEPrimary",1,3,""
"#Decision2016",1,3,""
"#NotOneMore",1,0,""
"#VoteTrumpNY",3,3,""
"#InternationalNursesDay",1,3,""
"#WomanCard",7,3,""
"#holdthefloor",1,3,""
"#KhizrKhan",1,3,""
"#VoteTrump",62,1,""
"#DemsInPHL",3,3,""
"#HillaryKaine2016",1,3,""
"#60Minutes",1,3,""
"#FeelTheBern",1,3,""
"#GOPinCLE",1,3,""
"#makersandtakers",1,3,""
"#NATO",2,3,""
"#StandTogether",1,3,""
"#CitizensUnited",2,3,""
"#OrlandoUnited",2,3,""
"#GOP",2,3,""
"#MeetTheTrumps",1,3,""
"#VoteTrumpNV",7,3,""
"#RNCinCLE",56,3,""
"#campaignfinance",1,3,""
"#HaileyPuckett",1,3,""
"#DDay",2,3,""
"#HoustonFlood",1,3,""
"#FightForFamilies",3,3,""
"#VoteTrump2016",2,3,""
"#HRC4PA",1,3,""
"#Wisconsin",2,3,""
"#Ford",1,3,""
"#WOMEN4TRUMP",1,3,""
"#Bush",1,3,""
"#Colbert",1,3,""
"#MaitnerStrong",1,3,""
"#GOPdebate",1,3,""
"#WH",1,3,""
"#Trump4President",1,3,""
"#VoteTrumpSC",9,3,""
"#Carrier",1,3,""
"#Jobs",1,3,""
"#Mexico",1,3,""
"#NewYork",1,3,""
"#Jonas",1,3,""
"#SCPrimary",7,3,""
"#makeamericagreatagain",1,3,""
"#With_Cruz_you_lose",1,3,""
"#CommonCore",1,3,""
"#AmericaGreatAgain",1,3,""
"#Excellent",1,3,""
"#RNC",1,3,""
"#CommonLaw",1,3,""
"#NaturalBorn",1,3,""
"#MaryBrigidMcManamon",2,3,""
"#Cruz",1,3,""
"#laurencetribe",1,3,""
"#TedCruz",2,3,""
"#LaurenceTribe",1,3,""
"#HillaryClinton",1,3,""
"#HillaryOnGMA",1,3,""
"#WeAreBernie",1,3,""
"#SouthCarolinaPrimary",1,3,""
"#Derp",1,3,""
"#WeWantTrump",1,3,""
"#DavidCameron",1,3,""
"#MakeAmericaGreatAgain",216,1,""
"#RIP",1,3,""
"#DebateNight",33,4,""
"#TrumpIsWithYou",1,3,""
"#TrumpMovement",1,3,""
"#slipping",1,3,""
"#WeMadeHistory",4,3,""
"#Debates2016",14,4,""
"#JuanGabriel",1,3,""
"#DivoDeJuarez",1,3,""
"#DeclareYourAmbition",1,3,""
"#OpioidAwarenessWeek",1,3,""
"#GoodTrouble",1,3,""
"#SCOTUS",4,3,""
"#imwithher",1,3,""
"#CripTheVote",1,3,""
"#TerenceCrutcher",1,3,""
"#UNGA",1,3,""
"#LGBT",2,3,""
"#2A",4,2,""
