"627";"#EndGunViolence";"#sitin";1
"628";"#enough";"#ImWithHer";1
"629";"#Enough";"#Filibuster";1
"630";"#Enough";"#OrlandoUnited";1
"631";"#FAIL";"#Politician";1
"632";"#FallonTonight";"#MyTeacherIsWeird";1
"633";"#FeelTheBern";"#ImWithHer";1
"634";"#Filibuster";"#OrlandoUnited";1
"635";"#FITN";"#IACaucus";4
"636";"#FITN";"#IAPolitics";1
"637";"#FITN";"#MakeAmericaGreatAgain";3
"638";"#FITN";"#NewHampshire";1
"639";"#FITN";"#NHPolitics";2
"640";"#FITN";"#NHPrimary";6
"641";"#FITN";"#Trump2016";9
"642";"#FITN";"#VoteTrump";2
"643";"#FITN";"#VoteTrumpNH";6
"644";"#Ford";"#Jobs";1
"645";"#Ford";"#Mexico";1
"646";"#Ford";"#Trump";1
"647";"#Fox";"#KenLangone";1
"648";"#Fox";"#NeilCavuto";1
"649";"#FoxNews";"#MakeAmericaGreatAgain";1
"650";"#FoxNews";"#MichaelMoore";1
"651";"#FoxNews";"#ROGERAILES";1
"652";"#FoxNews";"#Trump2016";2
"653";"#GIBill";"#veterans";1
"654";"#goodtrouble";"#NoBillNoBreak";1
"655";"#GOP";"#jenniferrubin";1
"656";"#GOP";"#MattSchlapp";1
"657";"#GOP";"#NYPrimary";1
"658";"#GOPConvention";"#GOPinCLE";1
"659";"#GOPConvention";"#RNCinCLE";2
"660";"#GOPDebate";"#IACaucus";1
"661";"#GOPDebate";"#MakeAmericaGreatAgain";2
"662";"#GOPDebate";"#SB50";1
"663";"#GOPDebate";"#SuperBowlSunday";1
"664";"#GOPDebate";"#TrumpTrain";1
"665";"#gunviolence";"#NoBillNoBreak";1
"666";"#gunviolence";"#NoMoreSilence";1
"667";"#gunviolence";"#sitin";1
"668";"#Hannity";"#MAKEAMERICAGREATAGAIN";1
"669";"#Hannity";"#Trump2016";1
"670";"#HillaryClinton";"#Prince";1
"671";"#HillaryOnGMA";"#TBT";1
"672";"#holdthefloor";"#NoBillNoBreak";1
"673";"#holdthefloor";"#NoMoreSilence";1
"674";"#IACaucus";"#IAPolitics";1
"675";"#IACaucus";"#MakeAmericaGreatAgain";6
"676";"#IACaucus";"#Trump2016";8
"677";"#IACaucus";"#VoteTrump";2
"678";"#IAPolitics";"#Trump2016";1
"679";"#IAPolitics";"#VoteTrump";1
"680";"#ICYMI";"#trump2016";1
"681";"#ICYMI";"#Trump2016";1
"682";"#ICYMI";"#VoteTrumpNY";1
"683";"#ImWithYou";"#LawandOrder";2
"684";"#ImWithYou";"#MAGA";5
"685";"#ImWithYou";"#MakeAmericaGreatAgain";6
"686";"#ImWithYou";"#Trump2016";2
"687";"#ImWithYou";"#TrumpTrain";1
"688";"#ImWithYou";"#VoteTrump";1
"689";"#ImWithYou";"#WCS16";1
"690";"#INPrimary";"#MakeAmericaGreatAgain";1
"691";"#INPrimary";"#Trump2016";3
"692";"#INPrimary";"#VoteTrump";6
"693";"#IowaCaucus";"#VoteTrump";1
"694";"#iVoted";"#PrimaryDay";1
"695";"#jenniferrubin";"#MattSchlapp";1
"696";"#JimmyFallon";"#TheDonald";1
"697";"#JimmyFallon";"#TheTonightShow";1
"698";"#JimmyFallon";"#TrumpPence16";1
"699";"#Jobs";"#Mexico";1
"700";"#Jobs";"#Trump";1
"701";"#Jonas";"#NewYork";1
"702";"#Jonas";"#NewYorkValues";1
"703";"#JuanGabriel";"#RIP";1
"704";"#KansasCaucus";"#MakeAmericaGreatAgain";1
"705";"#KansasCaucus";"#Trump2016";1
"706";"#KenLangone";"#NeilCavuto";1
"707";"#LaurenceTribe";"#TedCruz";1
"708";"#LESM";"#MAGA";2
"709";"#LESM";"#MakeAmericaGreatAgain";1
"710";"#LESM";"#Trump2016";1
"711";"#LGBT";"#Pulse";1
"712";"#LoneStarState";"#MakeAmericaGreatAgain";1
"713";"#LoneStarState";"#SuperTuesday";1
"714";"#LyingTed";"#NeverCruz";1
"715";"#MAGA";"#NeverHillary";1
