label;Anzahl_global;cluster;centroid;ID
#NeverHillary;6;0;;223
#NeverTrump;3;0;;224
#NewDay;1;0;;225
#NewHampshire;1;0;;226
#NewYork;1;0;;227
#NewYorkValues;6;0;;228
#NoBillNoBreak;8;0;;229
#NoLoyalty;1;0;;230
#NoMoreSilence;2;0;;231
#NotOneMore;1;0;;232
#OHHillYes;1;0;;233
#ORPrimary;1;0;;234
#ObamaCare;3;0;;235
#Obamacare;4;0;;236
#Olmstead;1;0;;237
#OnTheRecord;1;0;;238
#OpeningCeremony;1;0;;239
#OpioidAwarenessWeek;1;0;;240
#Orlando;1;0;;241
#OrlandoUnited;2;0;;242
#PAPrimary;2;0;;243
#POTUS;7;0;;244
#PhilandoCastile;1;0;;245
#Politician;1;0;;246
#Polls;1;0;;247
#PrimaryDay;6;0;;248
#Prince;1;0;;249
#Pulse;1;0;;250
#PurpleHeartDay;1;0;;251
#RIP;1;0;;252
#RIPrimary;2;0;;253
#RNC;1;0;;254
#RNCINCLE;1;0;;255
#RNCInCLE;3;0;;256
#RNCinCLE;56;0;;257
#RNCwithBernie;1;0;;258
#ROGERAILES;1;0;;259
#RTM2016;1;0;;260
#Racine;1;0;;261
#RepMikeKelly;1;0;;262
#RestoreTheVRA;2;0;;263
#RiggedSystem;1;0;;264
#Rio2016;1;0;;265
#RobotRubio;1;0;;266
#RogerStone;1;0;;267
#RollCallVote;2;0;;268
#RosanellEaton;1;0;;269
#Rubio;1;0;;270
#SB50;1;0;;271
#SCOTUS;4;0;;272
#SCPrimary;7;0;;273
#SOTU;2;0;;274
#SallyRideDay;1;0;;275
#SaveElephants;1;0;;276
#SayHerName;1;0;;277
#SecondAmendment;1;0;;278
#SheWon;5;0;;279
#ShesWithUs;1;0;;280
#SmallBizWeek;1;0;;281
#SouthCarolina;1;0;;282
#SouthCarolinaPrimary;1;0;;283
#Srebrenica;1;0;;284
#StandTogether;1;0;;285
#StandWithLouisiana;1;0;;286
#StanleyCup;1;0;;287
#Statehood;1;0;;288
#StopCommonCore;1;0;;289
#StopGunViolence;3;0;;290
#StoptheHate;2;0;;291
#StrongerTogether;7;0;;292
#SuperBowlSunday;1;0;;293
#SuperSaturday;2;0;;294
#SuperTuesday;19;0;;295
#TBT;11;0;;296
#TPP;1;0;;297
#TRUMP;1;0;;298
#TRUMP2016;1;0;;299
#TRUMPDOG;1;0;;300
#TeacherAppreciationDay;1;0;;301
#Teachers4Trump;1;0;;302
#TeamTrump;4;0;;303
#TeamUSA;1;0;;304
#Ted;1;0;;305
#TedCruz;2;0;;306
#TerenceCrutcher;1;0;;307
#ThankAVet;1;0;;308
#ThanksObama;1;0;;309
#TheDonald;1;0;;310
#TheTonightShow;1;0;;311
#TitleIX;1;0;;312
#Trump;8;0;;313
#Trump2016;309;0;;314
#Trump360;1;0;;315
#Trump4President;1;0;;316
#Trump4Vets;1;0;;317
#TrumpCountry;1;0;;318
#TrumpDallas;1;0;;319
#TrumpForPresident;1;0;;320
#TrumpIsWithYou;1;0;;321
#TrumpLV;1;0;;322
#TrumpMovement;1;0;;323
#TrumpNV;1;0;;324
#TrumpPence16;23;0;;325
#TrumpPence2016;2;0;;326
#TrumpSupporters;1;0;;327
#TrumpTrain;32;0;;328
#TrumpWaikiki;1;0;;329
#TrumpWon;2;0;;330
#TrumpYourself;4;0;;331
#TrumpinEverett;1;0;;332
#Turkey;1;0;;333
#TurnUpToVote;1;0;;334
#UAW;1;0;;335
#UNGA;1;0;;336
#UPUPUP;1;0;;337
#USA;1;0;;338
#USMC2016;1;0;;339
#UT;1;0;;340
#UTCaucus;2;3;;341
#UnderstandSlavery;1;0;;342
#Utah;2;0;;343
#Utah4Trump;1;0;;344
#UtahCaucus;2;0;;345
#UtahPrimary;1;0;;346
#VirWINia;2;0;;347
#VoteTrump;62;0;;348
#VoteTrump2016;2;0;;349
#VoteTrumpIL;1;0;;350
#VoteTrumpMA;1;0;;351
#VoteTrumpMI;2;0;;352
#VoteTrumpNC;1;0;;353
#VoteTrumpNH;7;0;;354
#VoteTrumpNV;7;0;;355
#VoteTrumpNY;3;0;;356
#VoteTrumpSC;9;0;;357
#VoteTrumpVT;1;0;;358
#VoteTrumpWI;1;0;;359
#VoterFraud;1;0;;360
#VoterRegistrationDay;1;0;;361
#VotersSpeak;1;0;;362
#WATCH;1;0;;363
#WCS16;1;0;;364
#WH;1;0;;365
#WHCD;1;0;;366
#WHD;1;0;;367
#WIBackHer;1;0;;368
#WIPrimary;13;0;;369
#WISCONSIN;1;0;;370
#WOMEN4TRUMP;1;0;;371
#WORK;1;0;;372
#WakeUpAmerica;2;0;;373
#WashingtonDC;1;0;;374
#WattersWorld;1;0;;375
#Wausau;1;0;;376
#WeAreBernie;1;0;;377
#WeMadeHistory;4;0;;378
#WeTrumpHate;1;0;;379
#WeWantTrump;1;0;;380
#WestVirginia;1;0;;381
#WesternTuesday;1;0;;382
#WheresHillary;1;0;;383
#Wimbledon;1;0;;384
#Wisconsin;2;0;;385
#With_Cruz_you_lose;1;0;;386
#WomanCard;7;0;;387
#Women4Ttump;1;0;;388
#WomensEqualityDay;4;0;;389
#WorldRefugeeDay;1;0;;390
#YUGE;1;0;;391
#YouthDay;1;0;;392
#brexit;1;0;;393
#campaignfinance;1;0;;394
#debate;4;0;;395
#debatenight;19;0;;396
#dtmag;1;0;;397
#election2016;1;0;;398
#enough;1;0;;399
#extremevetting;1;0;;400
#fairandbalancedmyass;1;1;1;401
#fixdemocracyfirst;1;0;;402
#goodtrouble;1;0;;403
#gunviolence;1;0;;404
#holdthefloor;1;3;;405
#iRegistered;1;0;;406
#iVoted;1;0;;407
#imwithher;1;0;;408
#imwithyou;1;0;;409
#jenniferrubin;1;3;3;410
#laurencetribe;1;4;;411
#makeamericagreatagain;1;0;;412
#makersandtakers;1;0;;413
#media;1;0;;414
#polls;1;0;;415
#presidenttrump;1;0;;416
#primary;1;0;;417
#sendDonaldtospace;1;0;;418
#sitin;2;0;;419
#slipping;1;0;;420
#smallbiz;2;0;;421
#taxplan;1;0;;422
#trump;2;0;;423
#trump2016;3;0;;424
#ugpride2016;1;0;;425
#vaticanwalls;1;0;;426
#veterans;1;0;;427
#voteTrump;1;0;;428
#womancard;1;0;;429
