"name1","name2","aehnlichkeit"
"#NATO","#VoterRegistrationDay","1.0"
"#StandTogether","#VoterRegistrationDay","1.0"
"#CitizensUnited","#VoterRegistrationDay","1.0"
"#TrumpPence16","#VoterRegistrationDay","1.0"
"#GOPConvention","#VoterRegistrationDay","1.0"
"#NeverForget","#VoterRegistrationDay","1.0"
"#Turkey","#VoterRegistrationDay","1.0"
"#fixdemocracyfirst","#VoterRegistrationDay","1.0"
"#Orlando","#VoterRegistrationDay","1.0"
"#ImWithHer","#VoterRegistrationDay","1.0"
"#Srebrenica","#VoterRegistrationDay","1.0"
"#StoptheHate","#VoterRegistrationDay","1.0"
"#LeadRight2016","#VoterRegistrationDay","1.0"
"#FirstInPOTUS","#VoterRegistrationDay","1.0"
"#RiggedSystem","#VoterRegistrationDay","1.0"
"#ImWithYou","#VoterRegistrationDay","1.0"
"#TBT","#VoterRegistrationDay","1.0"
"#ICYMI","#VoterRegistrationDay","1.0"
"#LoveTrumpsHate","#VoterRegistrationDay","1.0"
"#CreatorsAskHRC","#VoterRegistrationDay","1.0"
"#AmericaFirst","#VoterRegistrationDay","1.0"
"#UPUPUP","#VoterRegistrationDay","1.0"
"#TurnUpToVote","#VoterRegistrationDay","1.0"
"#CrookedHillary","#VoterRegistrationDay","1.0"
"#AlwaysTrump","#VoterRegistrationDay","1.0"
"#Hannity","#VoterRegistrationDay","1.0"
"#POTUS","#VoterRegistrationDay","1.0"
"#Trump","#VoterRegistrationDay","1.0"
"#OHHillYes","#VoterRegistrationDay","1.0"
"#dtmag","#VoterRegistrationDay","1.0"
"#USMC2016","#VoterRegistrationDay","1.0"
"#NYCPride","#VoterRegistrationDay","1.0"
"#MegynKellyPresents","#VoterRegistrationDay","1.0"
"#INDPrimary","#VoterRegistrationDay","1.0"
"#DemPlatform","#VoterRegistrationDay","1.0"
"#Brexit","#VoterRegistrationDay","1.0"
"#ORPrimary","#VoterRegistrationDay","1.0"
"#MadeInAmerica","#VoterRegistrationDay","1.0"
"#BrexitVote","#VoterRegistrationDay","1.0"
"#DemocraticSitIn","#VoterRegistrationDay","1.0"
"#imwithyou","#VoterRegistrationDay","1.0"
"#TitleIX","#VoterRegistrationDay","1.0"
"#Clinton","#VoterRegistrationDay","1.0"
"#Trump360","#VoterRegistrationDay","1.0"
"#gunviolence","#VoterRegistrationDay","1.0"
"#AsLongAsItTakes","#VoterRegistrationDay","1.0"
"#EauClaire","#VoterRegistrationDay","1.0"
"#Indiana","#VoterRegistrationDay","1.0"
"#sitin","#VoterRegistrationDay","1.0"
"#EndGunViolence","#VoterRegistrationDay","1.0"
"#NotOneMore","#VoterRegistrationDay","1.0"
"#InternationalNursesDay","#VoterRegistrationDay","1.0"
"#holdthefloor","#VoterRegistrationDay","1.0"
"#NoMoreSilence","#VoterRegistrationDay","1.0"
"#goodtrouble","#VoterRegistrationDay","1.0"
"#NoBillNoBreak","#VoterRegistrationDay","1.0"
"#Olmstead","#VoterRegistrationDay","1.0"
"#GIBill","#VoterRegistrationDay","1.0"
"#veterans","#VoterRegistrationDay","1.0"
"#MoreInCommon","#VoterRegistrationDay","1.0"
"#Imwithyou","#VoterRegistrationDay","1.0"
"#DisarmHate","#VoterRegistrationDay","1.0"
"#Statehood","#VoterRegistrationDay","1.0"
"#LaudatoSi","#VoterRegistrationDay","1.0"
"#presidenttrump","#VoterRegistrationDay","1.0"
"#primary","#VoterRegistrationDay","1.0"
"#JohnRyder","#VoterRegistrationDay","1.0"
"#Charleston9","#VoterRegistrationDay","1.0"
"#TrumpDallas","#VoterRegistrationDay","1.0"
"#GOPDebate","#VoterRegistrationDay","1.0"
"#ShesWithUs","#VoterRegistrationDay","1.0"
"#Enough","#VoterRegistrationDay","1.0"
"#Filibuster","#VoterRegistrationDay","1.0"
"#OrlandoUnited","#VoterRegistrationDay","1.0"
"#ArmyBDay","#VoterRegistrationDay","1.0"
"#NetNeutrality","#VoterRegistrationDay","1.0"
"#AZ","#VoterRegistrationDay","1.0"
"#StanleyCup","#VoterRegistrationDay","1.0"
"#RTM2016","#VoterRegistrationDay","1.0"
"#RepMikeKelly","#VoterRegistrationDay","1.0"
"#NebraskaPrimary","#VoterRegistrationDay","1.0"
"#MSNBCTownhall","#VoterRegistrationDay","1.0"
"#TrumpForPresident","#VoterRegistrationDay","1.0"
"#MattSchlapp","#VoterRegistrationDay","1.0"
"#jenniferrubin","#VoterRegistrationDay","1.0"
"#HistoryMade","#VoterRegistrationDay","1.0"
"#MothersDay","#VoterRegistrationDay","1.0"
"#MadeForHistory","#VoterRegistrationDay","1.0"
"#KentuckyDerby","#VoterRegistrationDay","1.0"
"#CTPrimary","#VoterRegistrationDay","1.0"
"#DEPrimary","#VoterRegistrationDay","1.0"
"#DDay","#VoterRegistrationDay","1.0"
"#Decision2016","#VoterRegistrationDay","1.0"
"#Elkhart","#VoterRegistrationDay","1.0"
"#MDPrimary","#VoterRegistrationDay","1.0"
"#CAPrimary","#VoterRegistrationDay","1.0"
"#CincoDeMayo","#VoterRegistrationDay","1.0"
"#SmallBizWeek","#VoterRegistrationDay","1.0"
"#TRUMP2016","#VoterRegistrationDay","1.0"
"#GunViolence","#VoterRegistrationDay","1.0"
"#SaveElephants","#VoterRegistrationDay","1.0"
"#ThanksObama","#VoterRegistrationDay","1.0"
"#TeacherAppreciationDay","#VoterRegistrationDay","1.0"
"#Teachers4Trump","#VoterRegistrationDay","1.0"
"#CA4Trump","#VoterRegistrationDay","1.0"
"#NeverDems","#VoterRegistrationDay","1.0"
"#Caribbean","#VoterRegistrationDay","1.0"
"#EstoyConElla","#VoterRegistrationDay","1.0"
"#UnderstandSlavery","#VoterRegistrationDay","1.0"
"#MemorialDay","#VoterRegistrationDay","1.0"
"#TRUMP","#VoterRegistrationDay","1.0"
"#PAPrimary","#VoterRegistrationDay","1.0"
"#MDW","#VoterRegistrationDay","1.0"
"#RIPrimary","#VoterRegistrationDay","1.0"
"#GOP","#VoterRegistrationDay","1.0"
"#MeetTheTrumps","#VoterRegistrationDay","1.0"
"#HaileyPuckett","#VoterRegistrationDay","1.0"
"#NewDay","#VoterRegistrationDay","1.0"
"#SallyRideDay","#VoterRegistrationDay","1.0"
"#UAW","#VoterRegistrationDay","1.0"
"#iVoted","#VoterRegistrationDay","1.0"
"#PrimaryDay","#VoterRegistrationDay","1.0"
"#ArizonaPrimary","#VoterRegistrationDay","1.0"
"#ArmedForcesDay","#VoterRegistrationDay","1.0"
"#INPrimary","#VoterRegistrationDay","1.0"
"#APAHM","#VoterRegistrationDay","1.0"
"#MichaelBrown","#VoterRegistrationDay","1.0"
"#MothersoftheMovement","#VoterRegistrationDay","1.0"
"#ChangeAgents","#VoterRegistrationDay","1.0"
"#SecondAmendment","#VoterRegistrationDay","1.0"
"#SayHerName","#VoterRegistrationDay","1.0"
"#FNS","#VoterRegistrationDay","1.0"
"#MayDay","#VoterRegistrationDay","1.0"
"#AmericaFIRST","#VoterRegistrationDay","1.0"
"#EastVillage","#VoterRegistrationDay","1.0"
"#EarthDay","#VoterRegistrationDay","1.0"
"#ActOnClimate","#VoterRegistrationDay","1.0"
"#DonaldTrump","#VoterRegistrationDay","1.0"
"#Prince","#VoterRegistrationDay","1.0"
"#HillaryOnCNN","#VoterRegistrationDay","1.0"
"#HillaryClinton","#VoterRegistrationDay","1.0"
"#HillaryOnGMA","#VoterRegistrationDay","1.0"
"#HoustonFlood","#VoterRegistrationDay","1.0"
"#FightForFamilies","#VoterRegistrationDay","1.0"
"#Derp","#VoterRegistrationDay","1.0"
"#HRC4PA","#VoterRegistrationDay","1.0"
"#LyingTed","#VoterRegistrationDay","1.0"
"#NeverCruz","#VoterRegistrationDay","1.0"
"#NYPrimary","#VoterRegistrationDay","1.0"
"#Racine","#VoterRegistrationDay","1.0"
"#UtahCaucus","#VoterRegistrationDay","1.0"
"#UTCaucus","#VoterRegistrationDay","1.0"
"#AmericanSamoa","#VoterRegistrationDay","1.0"
"#Brussels","#VoterRegistrationDay","1.0"
"#Arizona","#VoterRegistrationDay","1.0"
"#AIPAC2016","#VoterRegistrationDay","1.0"
"#AZPrimary","#VoterRegistrationDay","1.0"
"#TrumpCountry","#VoterRegistrationDay","1.0"
"#Mormon","#VoterRegistrationDay","1.0"
"#UtahPrimary","#VoterRegistrationDay","1.0"
"#Utah4Trump","#VoterRegistrationDay","1.0"
"#Utah","#VoterRegistrationDay","1.0"
"#CNN","#VoterRegistrationDay","1.0"
"#UT","#VoterRegistrationDay","1.0"
"#EndCommonCore","#VoterRegistrationDay","1.0"
"#Trump2016","#VoterRegistrationDay","1.0"
"#GO","#VoterRegistrationDay","1.0"
"#SuperTuesday","#VoterRegistrationDay","1.0"
"#MAKEAMERICAGREATAGAIN","#VoterRegistrationDay","1.0"
"#Donald","#VoterRegistrationDay","1.0"
"#LightweightSenatorMarcoRubio","#VoterRegistrationDay","1.0"
"#LSSC","#VoterRegistrationDay","1.0"
"#trump","#VoterRegistrationDay","1.0"
"#NewYorkValues","#VoterRegistrationDay","1.0"
"#trump2016","#VoterRegistrationDay","1.0"
"#TrumpWaikiki","#VoterRegistrationDay","1.0"
"#Mahalo","#VoterRegistrationDay","1.0"
"#Mediafraud","#VoterRegistrationDay","1.0"
"#MSPrimary","#VoterRegistrationDay","1.0"
"#TRUMPDOG","#VoterRegistrationDay","1.0"
"#SuperBowlSunday","#VoterRegistrationDay","1.0"
"#SuperSaturday","#VoterRegistrationDay","1.0"
"#SB50","#VoterRegistrationDay","1.0"
"#LittleMarco","#VoterRegistrationDay","1.0"
"#KansasCaucus","#VoterRegistrationDay","1.0"
"#GPLFers","#VoterRegistrationDay","1.0"
"#NHPrimary","#VoterRegistrationDay","1.0"
"#MorningJoe","#VoterRegistrationDay","1.0"
"#TrumpSupporters","#VoterRegistrationDay","1.0"
"#NHPolitics","#VoterRegistrationDay","1.0"
"#KenLangone","#VoterRegistrationDay","1.0"
"#NeilCavuto","#VoterRegistrationDay","1.0"
"#Fox","#VoterRegistrationDay","1.0"
"#OnTheRecord","#VoterRegistrationDay","1.0"
"#NewHampshire","#VoterRegistrationDay","1.0"
"#ECONOMY","#VoterRegistrationDay","1.0"
"#FAIL","#VoterRegistrationDay","1.0"
"#Politician","#VoterRegistrationDay","1.0"
"#NASCAR","#VoterRegistrationDay","1.0"
"#RobotRubio","#VoterRegistrationDay","1.0"
"#CBNNews","#VoterRegistrationDay","1.0"
"#StopCommonCore","#VoterRegistrationDay","1.0"
"#RogerStone","#VoterRegistrationDay","1.0"
"#2016","#VoterRegistrationDay","1.0"
"#Greta","#VoterRegistrationDay","1.0"
"#ObamaCare","#VoterRegistrationDay","1.0"
"#CruzFraud","#VoterRegistrationDay","1.0"
"#LoneStarState","#VoterRegistrationDay","1.0"
"#HarveyPitt","#VoterRegistrationDay","1.0"
"#IowaCaucus","#VoterRegistrationDay","1.0"
"#MakeYoutubeGreatAgain","#VoterRegistrationDay","1.0"
"#NoLoyalty","#VoterRegistrationDay","1.0"
"#NVcaucus","#VoterRegistrationDay","1.0"
"#TrumpLV","#VoterRegistrationDay","1.0"
"#IAPolitics","#VoterRegistrationDay","1.0"
"#SOTU","#VoterRegistrationDay","1.0"
"#CaucusForTrump","#VoterRegistrationDay","1.0"
"#NevadaCaucus","#VoterRegistrationDay","1.0"
"#TrumpNV","#VoterRegistrationDay","1.0"
"#BikersForTrump","#VoterRegistrationDay","1.0"
"#IACaucus","#VoterRegistrationDay","1.0"
"#FITN","#VoterRegistrationDay","1.0"
"#fairandbalancedmyass","#VoterRegistrationDay","1.0"
"#Ted","#VoterRegistrationDay","1.0"
"#SouthCarolina","#VoterRegistrationDay","1.0"
"#GoldenGlobe","#VoterRegistrationDay","1.0"
"#Laurence","#VoterRegistrationDay","1.0"
"#FoxNews","#VoterRegistrationDay","1.0"
"#ThankAVet","#VoterRegistrationDay","1.0"
"#Trump4Vets","#VoterRegistrationDay","1.0"
"#vaticanwalls","#VoterRegistrationDay","1.0"
"#MichaelMoore","#VoterRegistrationDay","1.0"
"#ROGERAILES","#VoterRegistrationDay","1.0"
"#Iowa","#VoterRegistrationDay","1.0"
"#MakeAmericaGreatAgain","#VoterRegistrationDay","0.931958618256"
"#Rubio","#VoterRegistrationDay","1.0"
"#Bush","#VoterRegistrationDay","1.0"
"#Colbert","#VoterRegistrationDay","1.0"
"#DavidCameron","#VoterRegistrationDay","1.0"
"#MaitnerStrong","#VoterRegistrationDay","1.0"
"#GOPdebate","#VoterRegistrationDay","1.0"
"#Trump4President","#VoterRegistrationDay","1.0"
"#Ford","#VoterRegistrationDay","1.0"
"#Carrier","#VoterRegistrationDay","1.0"
"#Jobs","#VoterRegistrationDay","1.0"
"#Mexico","#VoterRegistrationDay","1.0"
"#SouthCarolinaPrimary","#VoterRegistrationDay","1.0"
"#NewYork","#VoterRegistrationDay","1.0"
"#Jonas","#VoterRegistrationDay","1.0"
"#SCPrimary","#VoterRegistrationDay","1.0"
"#makeamericagreatagain","#VoterRegistrationDay","1.0"
"#CommonCore","#VoterRegistrationDay","1.0"
"#AmericaGreatAgain","#VoterRegistrationDay","1.0"
"#Excellent","#VoterRegistrationDay","1.0"
"#RNC","#VoterRegistrationDay","1.0"
"#CommonLaw","#VoterRegistrationDay","1.0"
"#NaturalBorn","#VoterRegistrationDay","1.0"
"#MaryBrigidMcManamon","#VoterRegistrationDay","1.0"
"#Cruz","#VoterRegistrationDay","1.0"
"#laurencetribe","#VoterRegistrationDay","1.0"
"#TedCruz","#VoterRegistrationDay","1.0"
"#LaurenceTribe","#VoterRegistrationDay","1.0"
"#MyTeacherIsWeird","#TheTonightShow","1.0"
"#FallonTonight","#TheTonightShow","1.0"
"#HispanicHeritageMonth","#TheTonightShow","1.0"
"#NPS100","#TheTonightShow","1.0"
"#iRegistered","#TheTonightShow","1.0"
"#brexit","#TheTonightShow","1.0"
"#ClintonKaine","#TheTonightShow","1.0"
"#LibrarianOfCongress","#TheTonightShow","1.0"
"#NationalVoterRegistrationDay","#TheTonightShow","1.0"
"#BuildTheWall","#TheTonightShow","1.0"
"#SheWon","#TheTonightShow","1.0"
"#PhilandoCastile","#TheTonightShow","1.0"
"#election2016","#TheTonightShow","1.0"
"#NeverHillary","#TheTonightShow","1.0"
"#MikePence","#TheTonightShow","1.0"
"#Diwali","#TheTonightShow","1.0"
"#BlackWomensEqualPay","#TheTonightShow","1.0"
"#LAflood","#TheTonightShow","1.0"
"#RestoreTheVRA","#TheTonightShow","1.0"
"#TeamUSA","#TheTonightShow","1.0"
"#OpeningCeremony","#TheTonightShow","1.0"
"#Rio2016","#TheTonightShow","1.0"
"#Benghazi","#TheTonightShow","1.0"
"#1","#TheTonightShow","1.0"
"#CommanderInChiefForum","#TheTonightShow","1.0"
"#ISIS","#TheTonightShow","1.0"
"#DemsinPhilly","#TheTonightShow","1.0"
"#StandWithLouisiana","#TheTonightShow","1.0"
"#LESM","#TheTonightShow","1.0"
